URL,File Name
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Migration-Integration/Publikationen/Downloads-Migration/statistischer-bericht-einbuergerungen-2010210237005.xlsx?__blob=publicationFile,statistischer-bericht-einbuergerungen-2010210237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/private-haushalte/Publikationen/Downloads/haushalte-umwelt-xlsx-5851319.xlsx?__blob=publicationFile,haushalte-umwelt-xlsx-5851319.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bildung-Forschung-Kultur/Hochschulen/Publikationen/Downloads-Hochschulen/kennzahlen-nichtmonetaer-2110431227005.xlsx?__blob=publicationFile,kennzahlen-nichtmonetaer-2110431227005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Publikationen/Downloads-Bevoelkerungsstand/statistischer-bericht-bevoelkerungsfortschreibung-zensus-2022-5124107.xlsx?__blob=publicationFile,statistischer-bericht-bevoelkerungsfortschreibung-zensus-2022-5124107.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bildung-Forschung-Kultur/Hochschulen/Publikationen/Downloads-Hochschulen/statistischer-bericht-hochschulpersonal-2110440237005.xlsx?__blob=publicationFile,statistischer-bericht-hochschulpersonal-2110440237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/rohstoffe-materialfluesse-wasser/Publikationen/Downloads/statistischer-bericht-gesamtwirtschaftliches-materialkonto-5851315227005.xlsx?__blob=publicationFile,statistischer-bericht-gesamtwirtschaftliches-materialkonto-5851315227005.xlsx
https://www.destatis.de/DE/Themen/Staat/Steuern/Verbrauchsteuern/Publikationen/Downloads-Verbrauchsteuern/statistischer-bericht-absatz-bier-2140921241085.xlsx?__blob=publicationFile,statistischer-bericht-absatz-bier-2140921241085.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/UGR/energiefluesse-emissionen/Publikationen/Downloads/statistischer-bericht-ugr-luftemissionsrechnung-5851103217005.xlsx?__blob=publicationFile,statistischer-bericht-ugr-luftemissionsrechnung-5851103217005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Publikationen/Downloads-Aussenhandel/statistischer-bericht-aussenhandel-2070100241055.xlsx?__blob=publicationFile,statistischer-bericht-aussenhandel-2070100241055.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Publikationen/Bodennutzung/statistischer-bericht-landw-betriebe-bodennutzung-2030212239005.xlsx?__blob=publicationFile,statistischer-bericht-landw-betriebe-bodennutzung-2030212239005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Publikationen/Downloads-Aussenhandel/statistischer-bericht-aussenhandel-2070100241035.xlsx?__blob=publicationFile,statistischer-bericht-aussenhandel-2070100241035.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Eheschliessungen-Ehescheidungen-Lebenspartnerschaften/Publikationen/Downloads-Eheschliessungen/statistischer-bericht-beschluesse-ehesachen-5126301227005.xlsx?__blob=publicationFile,statistischer-bericht-beschluesse-ehesachen-5126301227005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/statistischer-bericht-2180120243215.xlsx?__blob=publicationFile,statistischer-bericht-2180120243215.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Publikationen/Downloads-Verbraucherpreise/statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241065.xlsx?__blob=publicationFile,statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241065.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Transport-Verkehr/Publikationen/Downloads-Querschnitt/statistischer-bericht-kombinierter-verkehr-2080130227005.xlsx?__blob=publicationFile,statistischer-bericht-kombinierter-verkehr-2080130227005.xlsx
https://www.destatis.de/DE/Themen/Staat/Steuern/Lohnsteuer-Einkommensteuer/Publikationen/Downloads-Lohn-und-Einkommenssteuern/statistischer-bericht-lohn-einkommensteuer-einkuenfte-land-forstwirtschaft-5731105207005.xlsx?__blob=publicationFile,statistischer-bericht-lohn-einkommensteuer-einkuenfte-land-forstwirtschaft-5731105207005.xlsx
https://www.destatis.de/DE/Themen/Laender-Regionen/Regionales/Gemeindeverzeichnis/Administrativ/Archiv/Verwaltungsgliederung/31122000_Jahr.xlsx?__blob=publicationFile,31122000_Jahr.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Umwelt/Abfallwirtschaft/Publikationen/Downloads-Abfallwirtschaft/statistischer-bericht-abfallbilanz-5321001227005.xlsx?__blob=publicationFile,statistischer-bericht-abfallbilanz-5321001227005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Einkommensverteilung-Sektorkonten/sektorkonten-xlsx-5812105.xlsx?__blob=publicationFile,sektorkonten-xlsx-5812105.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-foerderprogramme-5411206239005.xlsx?__blob=publicationFile,statistischer-bericht-foerderprogramme-5411206239005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Aussenhandel/Publikationen/Downloads-Aussenhandel/statistischer-bericht-aussenhandel-2070100241025.xlsx?__blob=publicationFile,statistischer-bericht-aussenhandel-2070100241025.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Transport-Verkehr/Publikationen/Downloads-Querschnitt/statistischer-bericht-kombinierter-verkehr-2080130237005.xlsx?__blob=publicationFile,statistischer-bericht-kombinierter-verkehr-2080130237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Geburten/Publikationen/Downloads-Geburten/statistischer-bericht-frauen-zahl-geborene-Kinder-endergebnisse-5126106229005.xlsx?__blob=publicationFile,statistischer-bericht-frauen-zahl-geborene-Kinder-endergebnisse-5126106229005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/investitionen-xlsx-5811108.xlsx?__blob=publicationFile,investitionen-xlsx-5811108.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Preise/Verbraucherpreisindex/Publikationen/Downloads-Verbraucherpreise/statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241015.xlsx?__blob=publicationFile,statistischer-bericht-verbraucherpreisindex-lange-reihen-5611103241015.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Eheschliessungen-Ehescheidungen-Lebenspartnerschaften/Publikationen/Downloads-Eheschliessungen/statistischer-bericht-eheschliessungen-5126103237005.xlsx?__blob=publicationFile,statistischer-bericht-eheschliessungen-5126103237005.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-einkommenskombinationen-2030217239005.xlsx?__blob=publicationFile,statistischer-bericht-einkommenskombinationen-2030217239005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Publikationen/Downloads-Sterbefaelle/statistischer-bericht-sterbefaelle-tage-wochen-monate-aktuell-5126109.xlsx?__blob=publicationFile,statistischer-bericht-sterbefaelle-tage-wochen-monate-aktuell-5126109.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Bevoelkerungsstand/Publikationen/Downloads-Bevoelkerungsstand/statistischer-bericht-bevoelkerungsfortschreibung-2010130237005.xlsx?__blob=publicationFile,statistischer-bericht-bevoelkerungsfortschreibung-2010130237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Eheschliessungen-Ehescheidungen-Lebenspartnerschaften/Publikationen/Downloads-Eheschliessungen/statistischer-bericht-ehescheidungen-eheschliessungen-geborene-gestorbene-5126001237005.xlsx?__blob=publicationFile,statistischer-bericht-ehescheidungen-eheschliessungen-geborene-gestorbene-5126001237005.xlsx
https://www.destatis.de/DE/Themen/Gesellschaft-Umwelt/Bevoelkerung/Sterbefaelle-Lebenserwartung/Publikationen/Downloads-Sterbefaelle/statistischer-bericht-sterbetafeln-5126207237005.xlsx?__blob=publicationFile,statistischer-bericht-sterbetafeln-5126207237005.xlsx
https://www.destatis.de/DE/Themen/Wirtschaft/Volkswirtschaftliche-Gesamtrechnungen-Inlandsprodukt/Publikationen/Downloads-Inlandsprodukt/preisbereinigte-volumenangaben-jahr-xlsx-5811111.xlsx?__blob=publicationFile,preisbereinigte-volumenangaben-jahr-xlsx-5811111.xlsx
https://www.destatis.de/DE/Themen/Branchen-Unternehmen/Landwirtschaft-Forstwirtschaft-Fischerei/Landwirtschaftliche-Betriebe/Publikationen/Downloads-Landwirtschaftliche-Betriebe/statistischer-bericht-oekologischer-landbau-2030221239005.xlsx?__blob=publicationFile,statistischer-bericht-oekologischer-landbau-2030221239005.xlsx
https://www.destatis.de/DE/Themen/Staat/Justiz-Rechtspflege/Publikationen/Downloads-Gerichte/statistischer-bericht-verwaltungsgerichte-2100240237005.xlsx?__blob=publicationFile,statistischer-bericht-verwaltungsgerichte-2100240237005.xlsx
