File,Sheet,Total Rows,Removed Rows,Total Cells,Removed Cells,Removed Whitespaces,Total Columns,Removed Columns,Original Size,Cleaned Size,Size Reduction Factor
C:/Temp/excelshrinktest/downloaded\1959.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1959.xlsx,1959,175,1,2282,121,0,12,0,88957,86566,0.026878154614027
C:/Temp/excelshrinktest/downloaded\1959.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1960.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1960.xlsx,1960,234,1,3049,121,0,12,0,120442,118051,0.01985187891267166
C:/Temp/excelshrinktest/downloaded\1960.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1961.xlsx,1961-02.01-06.06.61,58,1,761,121,0,12,0,28636,26367,0.07923592680541976
C:/Temp/excelshrinktest/downloaded\1961.xlsx,1961,1278,1,16621,121,0,12,0,651558,649045,0.0038569091316505975
C:/Temp/excelshrinktest/downloaded\1961.xlsx,1961-01.01.,1174,1,15269,121,0,12,0,597530,595017,0.004205646578414473
C:/Temp/excelshrinktest/downloaded\1961.xlsx,Deckblatt,48,38,422,406,0,2,0,12625,2519,0.8004752475247525
C:/Temp/excelshrinktest/downloaded\1961.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1961.xlsx,1961-07.06-31.12.61,82,1,1073,121,0,13,0,40991,38722,0.05535361420799688
C:/Temp/excelshrinktest/downloaded\19610606_Auszug_GV.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\19610606_Auszug_GV.xlsx,Gemeindeverbandsdaten,893,0,12339,1687,0,13,3,475058,441050,0.0715870483183106
C:/Temp/excelshrinktest/downloaded\19610606_Auszug_GV.xlsx,Gemeindedaten,25328,0,311872,26,0,14,0,13279719,13279155,4.247077818438779e-05
C:/Temp/excelshrinktest/downloaded\19610606_Auszug_GV.xlsx,Inhalt,43,21,64,36,0,6,1,8281,5816,0.29766936360342955
C:/Temp/excelshrinktest/downloaded\1962.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1962.xlsx,1962,204,1,2659,121,0,11,0,104131,101740,0.02296146200459037
C:/Temp/excelshrinktest/downloaded\1962.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1963.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1963.xlsx,1963,340,1,4427,121,0,11,0,171847,169456,0.013913539369322712
C:/Temp/excelshrinktest/downloaded\1963.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1964.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1964.xlsx,1964,255,1,3322,121,0,11,0,131274,128883,0.01821381233145939
C:/Temp/excelshrinktest/downloaded\1964.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1965.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1965.xlsx,1965,162,1,2113,121,0,11,0,81914,79523,0.02918914959591767
C:/Temp/excelshrinktest/downloaded\1965.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1966.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1966.xlsx,1966,246,1,3205,121,0,11,0,126478,124087,0.018904473505273644
C:/Temp/excelshrinktest/downloaded\1966.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1967.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1967.xlsx,1967,196,1,2555,121,0,11,0,100554,98163,0.023778268393102212
C:/Temp/excelshrinktest/downloaded\1967.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1968.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1968.xlsx,1968,1767,1,22978,121,0,11,0,907323,904810,0.0027696862087701955
C:/Temp/excelshrinktest/downloaded\1968.xlsx,Deckblatt,48,38,422,406,0,2,0,12621,2515,0.8007289438237858
C:/Temp/excelshrinktest/downloaded\1969.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1969.xlsx,1969,4189,1,54332,1,0,11,0,2204568,2204475,4.2185135591190657e-05
C:/Temp/excelshrinktest/downloaded\1969.xlsx,Deckblatt,48,38,422,406,0,2,0,12625,2519,0.8004752475247525
C:/Temp/excelshrinktest/downloaded\1970.xlsx,1970-02.01.-27.05.,1423,0,18506,111,0,11,0,730184,727835,0.003216997359569643
C:/Temp/excelshrinktest/downloaded\1970.xlsx,1970,3702,0,48133,111,0,11,0,1945158,1942809,0.001207613983028628
C:/Temp/excelshrinktest/downloaded\1970.xlsx,1970-01.01.,1547,0,20118,111,0,11,0,804821,802563,0.0028055927964106306
C:/Temp/excelshrinktest/downloaded\1970.xlsx,Deckblatt,48,38,422,406,0,2,0,12625,2519,0.8004752475247525
C:/Temp/excelshrinktest/downloaded\1970.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1970.xlsx,1970-28.05-31.12.,767,0,9978,111,0,12,0,400583,398345,0.005586857155695573
C:/Temp/excelshrinktest/downloaded\19700527_Auszug_GV.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\19700527_Auszug_GV.xlsx,Gemeindeverbandsdaten,933,0,11196,56,0,12,2,461799,460121,0.003633615490722154
C:/Temp/excelshrinktest/downloaded\19700527_Auszug_GV.xlsx,Gemeindedaten,23837,1170,264952,6727,0,13,0,11349289,11137406,0.018669275229487945
C:/Temp/excelshrinktest/downloaded\19700527_Auszug_GV.xlsx,Inhalt,43,20,65,36,0,6,1,8360,5969,0.2860047846889952
C:/Temp/excelshrinktest/downloaded\1971.xlsx,1971-02.01-31.12.,2358,2,30600,70,0,14,0,1273244,1271576,0.0013100395525131082
C:/Temp/excelshrinktest/downloaded\1971.xlsx,1971-01.01.,355,0,4622,111,0,12,0,187202,184964,0.011955000480764094
C:/Temp/excelshrinktest/downloaded\1971.xlsx,1971,2695,0,35042,111,0,13,0,1458202,1455853,0.0016108879291072155
C:/Temp/excelshrinktest/downloaded\1971.xlsx,Deckblatt,48,38,422,406,0,2,0,12249,2507,0.7953302310392685
C:/Temp/excelshrinktest/downloaded\1971.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1972.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1972.xlsx,1972,9691,2,125902,46,0,13,0,5184637,5183473,0.00022450944974546915
C:/Temp/excelshrinktest/downloaded\1972.xlsx,Deckblatt,48,38,422,406,0,2,0,12251,2509,0.7952003918047507
C:/Temp/excelshrinktest/downloaded\1973.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1973.xlsx,1973,3533,2,45936,134,0,13,0,1854137,1851125,0.001624475429809124
C:/Temp/excelshrinktest/downloaded\1973.xlsx,Deckblatt,48,38,422,406,0,2,0,12249,2507,0.7953302310392685
C:/Temp/excelshrinktest/downloaded\1974.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1974.xlsx,1974,3770,0,51352,64,0,14,0,2086504,2085142,0.0006527665415450917
C:/Temp/excelshrinktest/downloaded\1974.xlsx,Deckblatt,48,38,422,406,0,2,0,12248,2506,0.7953951665578054
C:/Temp/excelshrinktest/downloaded\1975.xlsx,1975_0201-3112,167,2,4599,64,0,13,0,137505,136043,0.010632340642158468
C:/Temp/excelshrinktest/downloaded\1975.xlsx,1975-0101,2078,2,29526,80,0,5,0,1164094,1162382,0.001470671612429924
C:/Temp/excelshrinktest/downloaded\1975.xlsx,1975_0101-3112,2226,2,31524,80,0,5,0,1245869,1244157,0.001374141262042799
C:/Temp/excelshrinktest/downloaded\1975.xlsx,Deckblatt,48,38,422,406,0,2,0,12249,2507,0.7953302310392685
C:/Temp/excelshrinktest/downloaded\1975.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1976.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1976.xlsx,1976,378,2,7268,64,0,13,0,246932,245472,0.005912558923104336
C:/Temp/excelshrinktest/downloaded\1976.xlsx,Deckblatt,48,38,422,406,0,2,0,12248,2506,0.7953951665578054
C:/Temp/excelshrinktest/downloaded\1977.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1977.xlsx,1977,1971,0,29560,60,0,12,0,1072439,1071161,0.0011916761699266813
C:/Temp/excelshrinktest/downloaded\1977.xlsx,Deckblatt,48,38,422,406,0,2,0,12246,2504,0.7955250694104198
C:/Temp/excelshrinktest/downloaded\1978.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1978.xlsx,1978,2483,0,34712,60,0,12,0,1395138,1393860,0.0009160384134042653
C:/Temp/excelshrinktest/downloaded\1978.xlsx,Deckblatt,48,38,422,406,0,2,0,12246,2504,0.7955250694104198
C:/Temp/excelshrinktest/downloaded\1979.xlsx,Erläuterungen,0,0,0,0,0,0,0,1048,1030,0.01717557251908397
C:/Temp/excelshrinktest/downloaded\1979.xlsx,1979,208,0,5137,60,0,12,0,157301,156083,0.007743116699830262
C:/Temp/excelshrinktest/downloaded\1979.xlsx,Deckblatt,48,38,422,406,0,2,0,12245,2503,0.7955900367496938
